User_ID,Full_Name,Department,Job_Title,Status,Last_Login
U00001,User_1,Finance,Controller,Active,2025-12-31
U00002,User_2,Operations,Buyer,Active,2026-03-23
U00003,User_3,IT,System Admin,Active,2026-03-24
U00004,User_4,Finance,Controller,Active,2026-02-24
U00005,User_5,Legal,Counsel,Terminated,2026-01-29
U00006,User_6,Finance,AP Clerk,Terminated,2026-02-26
U00007,User_7,Operations,Warehouse Manager,Active,2026-02-07
U00008,User_8,Legal,Legal Assistant,Active,2026-02-03
U00009,User_9,HR,Payroll Specialist,Active,2026-02-24
U00010,User_10,IT,Security Analyst,Active,2026-03-04
U00011,User_11,Sales,Account Executive,Active,2026-01-08
U00012,User_12,IT,Security Analyst,Terminated,2026-01-16
U00013,User_13,Legal,Legal Assistant,Active,2026-01-31
U00014,User_14,IT,IT Manager,Active,2026-02-09
U00015,User_15,Legal,Legal Assistant,Active,2026-03-17
U00016,User_16,HR,Payroll Specialist,Active,2026-01-28
U00017,User_17,HR,Payroll Specialist,Active,2026-01-07
U00018,User_18,Sales,Sales Manager,Active,2026-03-07
U00019,User_19,Operations,Buyer,Active,2026-02-05
U00020,User_20,HR,Payroll Specialist,Active,2026-02-21
U00021,User_21,Legal,Counsel,Terminated,2026-01-10
U00022,User_22,Finance,Finance Manager,Active,2026-01-19
U00023,User_23,Legal,Counsel,Active,2026-03-24
U00024,User_24,Legal,Counsel,Active,2026-03-15
U00025,User_25,Operations,Buyer,Active,2026-01-08
U00026,User_26,Finance,Accountant,Active,2026-02-05
U00027,User_27,Sales,Account Executive,Active,2026-02-01
U00028,User_28,Legal,Counsel,Active,2026-03-05
U00029,User_29,Finance,AP Clerk,Active,2026-03-25
U00030,User_30,Finance,Controller,Active,2026-02-21
U00031,User_31,Legal,Counsel,Active,2025-12-30
U00032,User_32,IT,System Admin,Active,2026-02-23
U00033,User_33,HR,HR Generalist,Active,2026-02-16
U00034,User_34,Sales,Account Executive,Active,2026-01-25
U00035,User_35,Legal,Legal Assistant,Active,2025-12-31
U00036,User_36,Legal,Counsel,Active,2026-03-27
U00037,User_37,Finance,Accountant,Active,2026-02-04
